Question ID,Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
43ce42e1-50f3-4a2a-8b48-b8add5041354,Accountability and transparency concerns,Lack of transparency or explainability in decisions,No accountability for AI errors,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Bias and fairness issues,Bias or unfairness in AI decision-making,,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Emotional and relational impacts,AI causing disconnection or reduced family interaction,AI causing public embarrassment or shame,AI replacing human roles in the family,Emotional or relational harm to family,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Incorrect or harmful decision-making,AI acting on incomplete or inaccurate data,AI making decisions for children or vulnerable members,AI making harmful or wrong decisions,AI making legal or contractual commitments,Financial loss or unauthorized spending,Incorrect medical advice or health risks,Irreversible or hard-to-correct mistakes,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Lack of human judgment and values,"AI making decisions based on logic, not values",AI making decisions that conflict with family values,AI misunderstanding family needs or context,"Lack of human judgment, empathy, or nuance",,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Loss of control and autonomy,Decisions made without consent or approval,Difficulty overriding or reversing AI actions,Loss of personal control or autonomy,Loss of trust in technology,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Manipulation and third-party interests,AI acting in interests of third parties or companies,AI being manipulated or exploited by others,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Over-reliance and skill loss,"Over-reliance on AI, loss of human skills",,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Privacy and data security risks,Data privacy breaches and information leaks,"Security risks, hacking, and fraud",Unwanted sharing of sensitive health data,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Uncategorized,Other,,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,,Uninformative answer,,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,AI Integration in Daily Tasks and Services,AI chatbots replacing human customer service,"AI for financial, travel, and shopping tasks",AI in home automation and smart devices,AI in social media and online content,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Concerns about Accuracy and Authenticity,Concerns about authenticity and misinformation,Need to double-check AI outputs for accuracy,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Content Creation and Creativity,AI for creative tasks and idea generation,"AI in content creation (text, images, video)",,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Human-AI Interaction and Social Impact,Frustration with AI replacing humans,Reduced human interaction in services,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Information Access and Productivity,AI assistance with writing and editing,AI for decision-making and comparisons,"AI for language, translation, and accessibility",AI for research and learning support,AI in education and academic support,AI-generated summaries in search engines,Faster access to information and answers,Increased productivity and efficiency,Time savings on routine and admin tasks
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Minimal or No Impact,No noticeable change or minimal impact,,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Normalization and Societal Perception,General normalization and ubiquity of AI,Increased reliance or dependency on AI,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Personal Assistance and Wellbeing,AI as a personal assistant or companion,"AI for health, fitness, and wellbeing advice","AI for planning, scheduling, and organization",Emotional support and mental health from AI,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Workplace and Employment Effects,AI in workplace tools and workflows,Job impacts and employment concerns,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Uncategorized,Other,,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,,Uninformative answer,,,,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Accountability and Oversight,Accountability for errors and harm caused by AI,Compensation or guarantees for mistakes or losses,Human oversight and support availability,Open-source or third-party review of AI systems,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Data Privacy and Security,"Ability to view, edit, and delete personal data","Data privacy, security, and protection","Disclosure of data collection, storage, and sharing practices",Option to opt out or restrict data use,Respect for user privacy and confidentiality,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Ethical Standards and Fairness,Bias prevention and fairness in AI outputs,Ethical standards and responsible AI development,"Regulation, external audits, and compliance",,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Personalization and Customization,Customizable settings and user preferences,Personalization and understanding user needs,,,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Reliability and Performance,"Building trust through consistent, reliable performance",Time and experience to build user trust,"Track record, testing, and proven reliability",,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Transparency and Communication,"Clear explanation of AI logic, sources, and recommendations",Transparency about AI limitations and risks,Transparency about company motives and affiliations,Transparency in AI decision-making and operations,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,User Control and Consent,Consent and approval before AI takes action,Limiting AI autonomy and setting boundaries,Safeguards and fail-safes for sensitive actions,User control over AI actions and decisions,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,User Support and Education,"Non-intrusive, supportive, and helpful AI behavior",User education and clear communication about AI,User feedback mechanisms and responsiveness,,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Uncategorized,Other,,,,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,,Uninformative answer,,,,,,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Education and Learning,"Education, learning, and tutoring",,,,,,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Entertainment and Leisure,Creative inspiration and content generation,Entertainment and leisure recommendations,,,,,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Financial and Legal Support,Financial planning and budgeting,Legal and policy information simplification,Shopping assistance and deal finding,,,,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Health and Wellbeing,Accessibility and support for neurodiversity,"Healthcare advice, diagnosis, and monitoring",Mental health and emotional support,Supporting people with disabilities or aging,,,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Home and Daily Life Management,Childcare and family management,Home automation and smart devices,Household chores and maintenance,"Meal planning, nutrition, and grocery shopping","Safety, security, and crime prevention",Travel and holiday planning,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Information and Decision Support,Data analysis and reporting,Decision-making and problem-solving,Information retrieval and research,Personalized recommendations and advice,,,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Productivity and Organization,Automating repetitive and mundane tasks,Personal organization and life admin,Personal productivity and time management,Scheduling and reminders,"Writing, editing, and communication support",,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Social and Emotional Support,Companionship and social interaction,,,,,,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Work and Career Support,"Job search, applications, and career support",Workplace efficiency and admin automation,,,,,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,Uncategorized,Other,,,,,,,,
fa163ce1-2abd-473c-aa7d-8a8fa057e875,,Uninformative answer,,,,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,Accuracy and reliability of information,AI chatbots are not always reliable or consistent,AI chatbots can make mistakes or give inaccurate info,AI chatbots provide helpful and efficient information,,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,Appropriate use cases and user responsibility,AI chatbots are best for simple or factual tasks,AI chatbots can be helpful but not fully trustworthy,AI chatbots' trustworthiness depends on user experience,Users should verify AI chatbot responses,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,"Bias, manipulation, and influence",AI chatbots can be manipulated or misused,AI chatbots may reflect biases from training data,AI chatbots may reinforce user biases or echo chambers,,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,"Lack of human qualities (emotions, empathy, consciousness)",AI chatbots are not sentient or conscious,AI chatbots lack human emotions and empathy,,,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,Limitations in understanding and capability,AI chatbots act based on programming and user prompts,AI chatbots are limited by the quality of input,AI chatbots can be efficient but lack originality,AI chatbots lack personal knowledge of users,AI chatbots may not understand complex or nuanced queries,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,Ongoing development and uncertainty,AI chatbots are improving but still developing,AI chatbots' impact is still uncertain or evolving,,,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,Perception of AI as tools rather than entities,AI chatbots are neutral or impartial tools,"AI chatbots are seen as tools, not entities to trust",AI chatbots do not have hidden agendas,,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,Role and intentions of creators or organizations,AI chatbots are not designed to act in users' best interests,AI chatbots can be influenced by creators' motives,AI chatbots may be used for commercial or organizational goals,Trust depends on the company or people behind AI,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,"Security, privacy, and accountability concerns",AI chatbots lack accountability and regulation,AI chatbots may have security or privacy risks,,,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,Uncategorized,Other,,,,,,,,
b25117ff-66b8-4325-82dd-e6e3c9e379af,,Uninformative answer,,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,"Access, Education, and Digital Divide",AI accessibility and the digital divide,AI's use in education and academic integrity,Cost and affordability of AI services,Need for more public education about AI,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,"AI Capabilities, Limitations, and Future Risks",AI's future development and unknown risks,"AI's limitations, errors, and reliability",,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,"Bias, Fairness, and Inclusivity","AI bias, fairness, and inclusivity",Inclusivity for all ages and abilities in AI design,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,Employment and Economic Impacts,Job loss and employment impacts of AI,,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,"Ethical, Legal, and Regulatory Issues",Corporate interests and profit motives in AI,Ethical concerns and AI regulation,Government oversight and global governance of AI,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,Human Wellbeing and Relationships,AI's effect on human relationships and social connection,AI's impact on mental health and wellbeing,AI's influence on human skills and critical thinking,AI's role in healthcare and medical decisions,Concerns about AI replacing human interaction,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,Privacy and Security,Data privacy and security,,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,Social and Cultural Effects,AI's effect on creativity and the arts,AI's influence on autonomy and decision-making,AI's use in customer service and daily life,Environmental impact of AI,Societal and cultural impacts of AI adoption,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,"Trust, Transparency, and Accountability","AI misinformation, deepfakes, and manipulation",Desire for more open-ended survey responses,Human-AI collaboration and maintaining human control,Transparency and accountability of AI companies,Trust in AI and its developers,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,Uncategorized,Other,,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,,Uninformative answer,,,,,,,,
