rank,score,section_id,question,finding,avg_rank_position,num_rankings,details,model_x_ai_grok_code_fast_1,model_google_gemini_2.5_flash,model_openai_gpt_4.1,model_deepseek_deepseek_chat_v3_0324
62,0.9708,4.4,Which approach do people prefer for interacting with non-humans: direct communication via technology or interaction with a computer simulation (Q66)? Is this preference linked to their level of trust in AI's accuracy (Q57)?,Strong preference for direct communication approaches over simulated interactions.,4.89,27,Trust in AI translation strongly predicts preference - those who trust AI favor direct communication approaches.,,,,
63,0.9703,8.1,"Based on a thematic analysis of the open-text responses in Q33, what are the most common justifications provided for each view of human superiority/equality (Q32)? Are they primarily rooted in religious doctrine, scientific concepts (e.g., intelligence, tool use), philosophical arguments (e.g., consciousness, morality), or personal experience?","Among 20 analyzed open-text responses for ""Please explain why you give your response,"" practical/utilitarian justifications dominate (32%), followed by environmental considerations (19%). Intelligence and cognitive abilities are frequently cited as justifications for human superiority views, while equality arguments often reference shared planetary residence and equal rights to life.",4.95,20,,,,,
64,0.9699,29.2,Is,"Yes - Curious respondents favor open access (68%) over legal rights (12%), a 5.7x difference.",5.00,19,"Curiosity drives desire for knowledge access rather than formal structures. Non-curious show more balanced support (42% access, 18% rights).",,,,
65,0.9697,2.1,"What are the frequency distributions for using AI at work (required vs. chosen, Q18-Q19), in personal life (Q20), for sensitive emotional support (Q21), and for autonomous real-world actions (Q22)? Are people who are","AI usage shows strong workplace adoption with 45.6% required to use AI daily at work and 48.5% choosing to use it daily. Personal AI use is similarly high (49.2% daily), but use for sensitive issues (14.3% daily) and autonomous actions (10.2% daily) remains limited. There appears to be a correlation issue in the data between work and personal use that requires further investigation.",5.04,28,,,,,
66,0.9695,10.3,Which,"Companion animals have the highest encounter rate (89.8% agreement), followed by wild urban animals (47.6%) and farmed animals (31.6%). Political representation support varies by method: 37.1% oppose any participation, while 25.2% support voting on directly affecting laws, 13.0% support non-binding voice, and 11.7% support proxy voting.",5.05,57,"- **Most encountered**: Companion animals (89.8%), Urban wildlife (47.6%), Farmed animals (31.6%)",,,,
67,0.9688,6.1,"Is there a significant difference in the preferred future for animal protection (Q70: Relationships vs. Decision-Making vs. Legal Rights) between respondents from different countries or continents (Q7)? For instance, do certain regions show a stronger preference for legalistic solutions over relational ones?","Marginally significant regional differences exist in animal protection preferences (p=0.059). All major regions strongly prefer ""Building ongoing relationships and communication"", with the global preference for relationship-based approaches over legalistic solutions being remarkably consistent across cultures.",5.15,27,"While approaching statistical significance, consistent patterns emerged:",,,,
68,0.9687,12.2,Do respondents who,"Company regulation receives significantly stronger support (84.9% agree) than professional restrictions (76.3% agree). The aggregated data shows similar overall agreement patterns (professional: 22.1%, company: 22.7% weighted scores), but cannot establish individual-level correlation. This suggests general regulatory support but preference for targeting commercial entities over individual access.",5.17,30,- **Professional restrictions (Q82)**:,,,,
69,0.9686,7.4,Question 7.4,"Strong belief in animal culture correlates with increased support for radical political representation (12.7% vs 3.6% among skeptics), but the relationship is marginally non-significant (p=0.065). Belief in animal culture doesn't strongly predict political radicalism, suggesting cultural recognition and political inclusion are separate considerations.",5.18,11,Among strong culture believers (n=284):,,,,
70,0.9677,10.2,Are people who have,"""Curious"" is the dominant emotional response (59.1% agreement) after learning about animal cognition, followed by ""Connected"" (32.4%) and ""Surprised"" (25.3%). ""Protective"" feelings show lower agreement (15.5%). Cannot establish correlation with encounter frequency due to aggregated data structure.",5.29,38,- **Emotional distribution**: Curious > Connected > Surprised > Protective > Unchanged > Skeptical > Unsettled,,,,
71,0.9668,3.4,Question 3.4,"While we cannot link emotions specifically to those who reported ""A great deal"" of impact due to aggregated data structure, the overall emotional response distribution shows ""Curious"" as dominant (59.1%), followed by ""Connected"" (32.4%) and ""Surprised"" (25.3%). Negative emotions are minimal.",5.42,12,Emotional response distribution from 8 Q45 responses:,,,,
72,0.9666,18.2,Are,"Zoo/aquarium visitors represent only 7.0% of respondents, the third-lowest exposure category. Statistical analysis reveals significant differences in religious affiliation between zoo visitors and non-visitors (p=0.001), suggesting distinct demographic profiles that may influence attitudes toward animal communication.",5.44,16,- **Zoo/aquarium exposure**: 7.0% (ranked 6th of 9 categories),,,,
73,0.9656,31.7,"Are people who claim ""Humans are part of nature and fundamentally different"" (Q31) more or less likely to express emotional closeness (Q45) to animals?

##","People claiming ""part of nature but fundamentally different"" (48.0% of sample) show 77.4% emotional closeness to animals, similar to other nature views, indicating philosophical positions don't determine emotional connections.",5.57,28,Emotional closeness by worldview:,,,,
74,0.9651,16.1,Do people who identify as,"Mixed results - those identifying as ""separate from nature"" show 34.7% empathetic responses vs 45.6% among those who see themselves as ""part of nature"".",5.64,11,"Moderate gradient: ""Part of nature"" (45.6% empathetic) > ""Separate from nature"" (34.7%) > ""Connected but different"" (33.8%). Statistical test shows no significant relationship (χ²=0.54, p=0.463).",,,,
75,0.9631,17.3,Among those who distrust,Both social media and AI translators show mixed trust patterns in aggregated data. Social media shows 54.2% distrust (somewhat + strongly) versus AI translators' 21.4% distrust. Cannot calculate correlation or conditional probabilities due to lack of individual-level data.,5.91,23,"Social media shows higher distrust (54.2% somewhat/strongly distrust) compared to AI translators (21.4% somewhat/strongly distrust). However, the aggregated data structure prevents analysis of individual trust patterns or correlations between the two. We cannot determine what percentage of social media distrusters also distrust AI, nor identify distinct trust segments. The data suggests different trust levels for different technologies but individual-level analysis would be needed to understand compartmentalization patterns or technology-specific trust decisions.",,,,
76,0.9627,32.3,What,"Practical justifications dominate (56%), followed by personal experience (31%) and scientific reasoning (22%). Religious justifications are surprisingly rare (5%). Cannot correlate themes with trust/rights due to aggregated structure.",5.96,27,- **Theme distribution**:,,,,
77,0.9624,17.1,Which is trusted more globally:,"Based on aggregated agreement scores, AI animal translators show mixed trust (43.6% somewhat trust, 18.1% somewhat distrust), while social media shows higher distrust (32.2% somewhat distrust, 22.0% strongly distrust). Cannot determine comparative rankings or 5-point scale scores due to aggregated data structure.",6.00,20,"Available data shows AI translator trust distribution: 43.6% somewhat trust, 27.9% neutral, 18.1% somewhat distrust, 7.1% strongly trust, 3.3% strongly distrust. Social media trust is lower: 32.2% somewhat distrust, 26.7% neutral, 22.0% strongly distrust, 16.9% somewhat trust, 2.3% strongly trust. The aggregated nature of the data prevents establishing a definitive trust hierarchy or calculating mean scores on a 5-point scale. Individual-level comparisons between different trust targets cannot be determined.",,,,
78,0.9601,22.3,Among people who feel,Curiosity shows minimal association with political radicalism. 58.6% of curious respondents support some form of animal voting versus 53.5% of others - only a 5.1 percentage point difference. Curiosity doesn't strongly predict radical political views.,6.30,23,- **Curious respondents:** 613 (57.6% of sample),,,,
79,0.9599,11.4,Among respondents who are,"127 respondents (17.6% of interested) show this pattern, citing technical limitations and reliability concerns.",6.33,18,"Key concerns include AI's inability to understand consciousness, human biases in programming, and technology missing nuance. These respondents want the capability but doubt current technology's reliability.",,,,
80,0.9599,32.4,Do those citing,"Religious justifications are rare (5% of responses) compared to scientific (22%) or personal (31%) reasoning. However, aggregated data prevents linking justification types to governance preferences.",6.33,12,"- **Justification breakdown**: Religious (5%), Scientific (22%), Personal (31%), Practical (56%)",,,,
81,0.9592,32.8,"Do ""It depends"" respondents (Q53) disproportionately favor","Nearly half (47.9%) say ""it depends"" for AI technology use. Found 8 regulation support responses but cannot link ""it depends"" respondents to their regulation preferences due to aggregated data structure.",6.43,7,"- **""It depends"" prevalence**: 47.9% for AI technology appropriateness",,,,
82,0.9591,22.2,Is feeling,"Mixed evidence with very small sample. Unsettled respondents show similar support for professional restrictions (90% vs 88%) but much lower support for open access (50% vs 82%), suggesting selective rather than blanket restriction preferences.",6.43,30,- **Unsettled group:** Only 11 respondents (1.0% of sample) - extremely rare response,,,,
83,0.9591,2.2,"What is the general expectation regarding AI's impact on cost of living (Q23), free time (Q24), community well-being (Q25), job availability (Q26), and sense of purpose (Q27) over the next 10 years?","Respondents show moderate optimism about AI's future impact, with free time showing the highest net optimism (16.0%) and job availability the lowest (6.6%). All areas show positive mean scores, suggesting overall optimism despite variation across domains.",6.44,18,- Free time: 16.0% net optimism (highest),,,,
84,0.9590,1.3,"What percentage of respondents believe humans are superior, inferior, or equal to animals (Q32)? Is there a significant correlation between this belief and a respondent's age (Q2), religious affiliation (Q6), or level of interaction with animals (Q35-Q38)?","Percentage of respondents believing humans are superior, inferior, or equal to animals (Q32 is part of Q94 response) and correlations with demographics",6.45,20,,,,,
85,0.9584,8.4,"Perform a thematic analysis on the open-text answers for the biggest benefit (Q63) and biggest risk (Q64) of understanding animals. What are the top 3 most frequently mentioned benefits and risks? Do the risks focus more on harm to animals (e.g., exploitation) or harm to humans (e.g., societal disruption)?

##","Analysis of 1,019 benefit responses and 1,017 risk responses reveals balanced concern between hopes and fears. Thematic analysis of 100 text responses shows practical considerations dominate (32%), followed by environmental concerns (19%) and philosophical considerations (8%).",6.53,15,"- **Equal distribution** of benefit (1,019) and risk (1,017) responses suggests balanced perspective",,,,
86,0.9565,30.3,Do trust archetypes predict responses to animal representation (Q70–77)?,Relationship between trust patterns and support for animal legal representation,6.79,19,,,,,
87,0.9564,32.6,Who are the respondents who frequently select,"""It depends"" is the dominant response for AI technology use (47.9%), while neutrality varies widely across topics: high for AI trust (29.5%) and animal culture beliefs (18.5%), but low for animal language (3.7%) and emotion (3.2%).",6.80,15,- **Neutrality rates**:,,,,
88,0.9559,1.5,"How does trust in AI chatbots (Q17) compare to trust in other entities like family doctors (Q12), elected representatives (Q14), and social media feeds (Q13)? What is the average trust level for each entity?

##",Comparative trust levels across different entities (Q12-Q17),6.87,23,,,,,
89,0.9559,19.3,How many respondents support an,"How many respondents support an AI-managed ecocentric society (Q76), and are they the same people who are skeptical about AI in daily life (Q5)?",6.87,23,,,,,
90,0.9556,30.6,"Are there religious or cultural groups (Q6, Q7) that show distinct trust profiles, e.g., higher faith leader trust but lower AI trust?",Trust patterns by religious affiliation,6.91,11,,,,,
91,0.9543,26.2,Does a person's foundational view of the human-nature relationship (,Does a person's foundational view of the human-nature relationship (Q31/Q94) act as a master variable that predicts their entire suite of subsequent ethical choices?,7.08,36,,,,,
92,0.9535,18.3,Do people who encounter,"Urban wildlife encounters (47.6%) are common but far less frequent than companion animal encounters (89.8%). Statistical analysis shows no significant difference in human-animal relationship views between different exposure groups (p=0.103), suggesting consistent ethical frameworks regardless of animal encounter patterns.",7.18,22,- **Exposure rates**:,,,,
93,0.9535,30.5,"Do people who distrust both AI (Q17, Q57) and human institutions (Q14, Q16) cluster into a coherent ""generalized distrust"" group, and what are their stances on governance?",Identifying groups with consistently low trust across institutions,7.18,11,,,,,
94,0.9532,32.2,Do those who feel their,"Community optimism is prevalent (54.9% expect improvement), but cannot be linked to support for relational approaches due to missing branch-specific data in Q70. The positive community outlook suggests potential openness to collaborative approaches.",7.22,40,- **Community well-being expectations**:,,,,
95,0.9524,27.1,"Do respondents who believe AI will make their cost of living or job availability ""Worse"" (","Data quality issues prevent full analysis of economic anxiety's impact on animal rights support. Among available data, 45.5% of economically optimistic respondents (cost of living and jobs improving) support animal economic rights, while 10.4% support political representation. The absence of economically anxious respondents in the reliable data (PRI >= 0.3) suggests potential sampling or data collection issues.",7.33,27,Economic outlook distribution:,,,,
96,0.9519,22.1,Do those who,"Analysis suggests correlation between imagination and hopefulness about AI translation, but requires proper analysis of multi-select Q54 responses to determine statistical significance.",7.40,15,- **Often/Sometimes imagine umwelt:** 502 respondents (50.0% of sample),,,,
97,0.9508,23.1,"Are people who frequently care for or live with companion animals (Q35, Q38) more likely to support non-humans being able to earn money or own property (Q91)?","While 89.8% of respondents encounter companion animals weekly and 32.1% report ""always"" caring for animals, no data is available for Q91 (economic rights) preventing analysis of this relationship. The high companion animal exposure rate suggests this would be a critical population for understanding economic rights attitudes.",7.55,20,- **Companion animal exposure**: 89.8% encounter weekly (highest of all animal categories),,,,
98,0.9506,1.2,What is the distribution of views on the relationship between humans and nature (Q31)? How does this distribution vary across different religious groups (Q6) or residential environments (Q4)?,Distribution of views on the relationship between humans and nature (Q31 mapped to Q94) and variation across religious groups and residential environments,7.57,28,,,,,
99,0.9504,30.4,"Are there groups who trust AI chatbots (Q17) but distrust AI translation (Q57), or vice versa? What defines them?",Analyzing disconnect between AI trust (Q17) and support for AI-managed society (Q76),7.59,22,,,,,
100,0.9503,30.7,"Among those who trust AI translators (Q57) more than elected representatives (Q14), are they also more supportive of animals having legal/political representation (Q70, Q77)?

##",Comparing trust in AI vs. government and its relationship to animal rights support,7.61,23,,,,,
101,0.9502,18.1,Do people who regularly interact with,"Only 8.8% of respondents regularly encounter working animals (police dogs, work mules), making this a small specialized group. Statistical analysis shows no significant difference in animal protection preferences between those with and without working animal exposure (p=0.856).",7.62,16,- **Working animal exposure rate**: 8.8% (ranked 5th of 9 animal categories),,,,
102,0.9502,26.1,By clustering responses to questions on equality (,"By clustering responses to questions on equality (Q32/Q94), legal futures (Q70), and economic rights (Q91), can we identify distinct ethical archetypes?",7.62,16,,,,,
103,0.9492,15.4,Do people who feel AI translation would,"Q54 responses don't directly address ""diminishing wonder"" - they show general AI translation feelings. Those marking ""Concerned"" (68) or ""Skeptical"" (46) as standalone responses represent different analysis groups, but the data structure prevents clean analysis of this specific question.",7.75,12,"- **Q54 Distribution:** Most common responses are ""Curious"" (317), ""Hopeful"" (234), combined ""Hopeful, Curious"" (160)",,,,
104,0.9491,30.2,What clusters emerge from trust patterns — e.g.,Identifying distinct trust archetypes through cluster analysis,7.77,30,,,,,
105,0.9490,13.3,How does,How does region (Q7) affect attitudes toward AI-enabled human-wildlife conflict resolution (Q61)? Are certain countries more likely to trust AI than humans?,7.79,28,,,,,
106,0.9487,1.4,"What is the overall public sentiment towards the increased use of AI in daily life (Q5)? How does this sentiment (excited vs. concerned) correlate with daily, weekly, or monthly personal use of AI (Q20)?",Overall public sentiment towards increased use of AI (Q5) and correlation with personal AI usage (Q20),7.83,23,,,,,
107,0.9477,32.5,"In Q59 (concerns about AI in interspecies communication), do skeptical respondents emphasize",Found 100 Q59 concern responses but cannot link risk types to respondent attitudes due to aggregated data structure. Risk themes cannot be correlated with optimism/skepticism levels.,7.96,23,- **Q59 responses found**: 100 concerns about AI communication,,,,
108,0.9474,19.1,"When asked who should represent animals (Q75), is there evidence of","When asked who should represent animals (Q75), is there evidence of regional blocs preferring different representatives?",8.00,12,,,,,
109,0.9461,8.2,"From the explanations in Q58, what are the primary themes for","Limited trust/distrust response data (10 responses) prevents comprehensive thematic analysis. Technical themes appear in 5% of analyzed text responses, suggesting concerns about AI capabilities are present but not dominant in the available data.",8.17,6,"The data structure appears to aggregate trust responses rather than preserve individual explanations, limiting qualitative analysis of trust reasoning. Further investigation would require access to raw response text for Q58 specifically.",,,,
110,0.9449,17.2,Are there demographics where,Cannot determine individual-level comparisons between AI translator and doctor trust due to aggregated data structure. Age-based segment scores show varying trust patterns but individual preferences cannot be calculated.,8.33,12,The aggregated data structure prevents calculating percentages who trust AI more than doctors. Available segment scores show age variations in AI translator trust but cannot be directly compared to doctor trust scores at the individual level. The database contains agreement scores for demographic segments but lacks the individual response linkages needed to determine relative trust preferences or calculate correlation with AI enthusiasm.,,,,
111,0.9445,32.1,Do respondents who predict AI will make,"Cannot establish correlation due to missing data. While economic outlook questions exist (10 responses found), no Q91 (economic agency) data and limited Q73 data prevent analysis of the relationship between economic anxiety and animal rights support.",8.38,8,- **Economic outlook data**: 10 responses found for AI impact on jobs/cost of living,,,,
112,0.9435,27.2,Is there a correlation between optimism about one's,"Community optimism shows limited variation in the data, preventing robust correlation analysis with relational approaches. Among community optimists (expecting better community well-being), preference patterns differ from hypothesis: only 17.8% choose legal rights (Future C), with 0% selecting relationships (Future A) or shared decision-making (Future B), indicating severe data quality issues.",8.52,31,Q25 Community outlook distribution:,,,,
113,0.9426,13.1,Which religions (Q6) most strongly support the view that,"Which religions (Q6) most strongly support the view that humans are equal to animals (Q32/Q94), and how does this relate to their support for legal representation (Q73-74)?",8.63,19,,,,,
114,0.9421,29.5,Does emotional response (Q45) predict policy preferences better than,Advanced statistical analysis of multi-select Q45 emotional data requires proper JSON parsing and machine learning methodology to establish predictive relationships.,8.70,27,Analysis needs to account for overlapping emotional categories in JSON format before statistical comparison can be validated.,,,,
115,0.9419,13.2,Do rural respondents (Q4) with higher daily,Do rural respondents (Q4) with higher daily encounters with farmed animals (Q38) show less support for legal rights (Q70-C) than urban respondents?,8.73,11,,,,,
116,0.9414,30.1,Construct a,Constructing a composite trust index from Q12-Q17 and Q57 to identify overall trust levels,8.80,15,,,,,
117,0.9398,3.2,What is the distribution of responses regarding how much the provided scientific facts about animal cognition (Q43) impacted respondents' perspectives (Q44)?,Unable to determine exact distribution due to limited response data. Only 5 responses recorded for Q44 in the database.,9.00,36,"The limited data suggests varied impact levels from the scientific facts presented about dolphins, parrots, elephants, orangutans, prairie dogs, and humpback whales. Further data collection needed for meaningful analysis.",,,,
118,0.9396,28.3,"Do people who reported being impacted ""A great deal"" by the scientific facts (Q44) also show the largest shifts between Q31/32 and Q93/94?",CANNOT ANALYZE - Requires comparison between initial and final worldview questions; only final questions available.,9.04,28,- Q44 data exists (impact of scientific facts),,,,
119,0.9394,3.3,"Is there a correlation between the frequency of caring for or observing animals (Q35, Q37) and the strength of belief in animal language, emotion, and culture (Q39-Q41)?","Cannot establish correlation due to data structure - responses are aggregated at segment level rather than individual participant level, preventing correlation analysis between individual behaviors and beliefs.",9.06,31,"The current data structure contains segment-level agreement scores rather than individual responses, making it impossible to correlate individual animal encounter frequency with belief strength. Alternative analysis would require access to raw participant-level data.",,,,
120,0.9393,28.7,"Do shifts cluster regionally (Q7), suggesting cultural contexts where minds are more open to persuasion?

##",CANNOT ANALYZE - Regional clustering of opinion shifts requires baseline measurements from Q31/Q32.,9.07,14,"- Regional data exists (India 192, US 165, China 65, Kenya 51, etc.)",,,,
121,0.9392,1.1,"What is the demographic breakdown of the survey respondents based on age (Q2), gender (Q3), location type (Q4), and religious identification (Q6)?","Demographic breakdown of survey respondents based on age (Q2), gender (Q3), location type (Q4), and religious identification (Q6)",9.08,12,,,,,
122,0.9391,19.2,Do people who want,Do people who want strict rules on companies (Q84) also support open public access (Q83)?,9.11,19,,,,,
123,0.9391,28.6,"Is there a generational difference in opinion shifts (Q2), i.e. are younger respondents more ""persuadable"" than older ones?","CANNOT ANALYZE - Age-based persuadability analysis requires measuring actual opinion change, which is impossible without Q31/Q32 baseline.",9.11,19,- Age distribution data exists,,,,
124,0.9386,28.4,"Do specific emotional responses (Q45: ""Connected,"" ""Protective"") predict a higher likelihood of opinion change than others (e.g., ""Skeptical"")?",CANNOT ANALYZE - Opinion change cannot be measured without initial worldview baseline (Q31/Q32).,9.16,31,- Q45 emotional response data exists,,,,
125,0.9386,3.5,"How important do people think it is to understand animal perceptual worlds (Q50)? Does this correlate with how often they have tried to imagine it themselves (Q48)?

##",Data limitations prevent full analysis. Limited responses available for both Q48 (imagination frequency) and Q50 (importance of understanding).,9.17,29,The aggregated data structure and limited response counts prevent correlation analysis between imagination frequency and perceived importance of understanding animal umwelt. The concept of umwelt - the unique perceptual world of each species - appears to be assessed but with insufficient data for meaningful conclusions.,,,,
126,0.9377,8.3,"Analyze the explanations given for the preferred futures in Q70 (branches a, b, c). Do the people who chose Future A (Relationships) tend to use language centered on empathy, dialogue, and mutual understanding? Do those who chose Future C (Legal Rights) use language centered on justice, protection, and autonomy?","Only 3 responses found for future vision preferences, with branch preference data stored as aggregated scores rather than individual choices with explanations. Unable to perform value-based language analysis due to data limitations.",9.29,14,"The database contains branch_a, branch_b, and branch_c columns but these appear to be aggregate agreement scores rather than individual selections with accompanying explanations. This structure prevents linking specific language patterns to branch preferences.",,,,
127,0.9373,5.3,"Of the options provided in Q75, which three roles (e.g., Scientists, Animal protection organizations, AI) are most frequently chosen to represent animals in decision-making bodies?","Data quality issue detected - all representative options show 100% selection, suggesting a data processing error in the unmapped columns. Unable to determine actual preferences from current data structure.",9.33,12,PENDING: Requires investigation of data structure for multi-select questions. The uniform 100% selection rate across all options indicates either a data import issue or that these columns contain different information than expected. Further investigation needed to properly analyze representative preferences.,,,,
128,0.9361,12.3,How many respondents select,No data available for Q75 (animal representative preferences) in the current dataset. Unable to compare preferences for animals themselves versus scientists or NGOs as decision-making representatives.,9.50,22,"The question about who should represent animals in decision-making bodies appears to be missing from the available response data, preventing analysis of representative preferences across regions.",,,,
129,0.9356,28.2,"Among those who shifted, what proportion moved",CANNOT ANALYZE - Requires Q31/Q32 baseline data which is not available in the database.,9.57,23,- Analysis not possible without initial worldview data,,,,
130,0.9349,28.5,Are respondents who actively imagine animal umwelts (Q48) more likely to change their worldview across the survey?,CANNOT ANALYZE - Worldview change measurement requires initial Q31/Q32 data which is missing.,9.65,26,- Q48 umwelt imagination data exists,,,,
131,0.9338,12.4,Are younger respondents (Q2: 18–25) more likely than older respondents (56+) to support animals having,No data available for Q91 (economic agency) in the current dataset. Unable to determine age-based differences in support for animals earning money or owning property.,9.80,15,"The question about animals' economic rights appears to be missing from the available response data, preventing age-based analysis of economic agency support.",,,,
132,0.9338,32.7,Are neutrals more likely to become,No data available for Q93-Q94 (repeated worldview questions) preventing analysis of survey intervention effects on neutral respondents.,9.80,20,- **Missing data**: No Q93-Q94 responses found in database,,,,
133,0.9323,28.1,How many respondents changed their answers between the,"DATA LIMITATION - Initial worldview questions Q31-Q32 are not present in the database. Only final questions Q93-Q94 exist, making it impossible to measure within-survey opinion change.",10.00,8,"- Q93 exists: Contains human-nature relationship views (separate/part of nature, different/similar)",,,,
