Question ID,Question Text,Response Text,Divergence Score,Min Segment,Min Agreement,Max Segment,Max Agreement
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Legal protection from the government ,0.3547,O7: Germany,0.1300,O1: Arabic,0.8400
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",School work,0.3441,O7: Italy,0.1300,Central America,0.8200
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",learning aid,0.3441,O7: Italy,0.1300,Central America,0.8200
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",Education ,0.3441,O7: Italy,0.1300,Central America,0.8200
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",Planning schedules.,0.3441,O7: Italy,0.1300,Oceania,0.8200
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,That he makes a wrong decision without us knowing.,0.3432,O7: Pakistan,0.1900,O7: Germany,0.8800
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","education,technology",0.3387,O7: Italy,0.1300,O7: Pakistan,0.8100
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"I fear biased decisions, security breaches, or data misuse compromising my family’s safety and privacy.",0.3387,O7: Germany,0.1300,Central Asia,0.8100
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",Helping me when it comes to family advice and education ,0.3344,O7: Italy,0.0700,Central America,0.7600
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,There is always a possibility of error in the assistant's actions.,0.3276,O7: Germany,0.1300,O7: Korea South,0.7900
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","I think a future AI assistant could really help me with learning and improving my skills, like practicing different languages or understanding new topics more easily.",0.3276,O7: Italy,0.1300,O1: Arabic,0.7900
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,The biggest fear I have is giving access to my home or my children's information online.,0.3276,O7: Germany,0.1300,O7: Korea South,0.7900
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",communicate more about the operation and safeguards,0.3276,O7: Germany,0.1300,O1: Arabic,0.7900
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",Helpful for people to talk through their ideas and also for older folks to learn about the world,0.3276,O7: Italy,0.1300,O1: Arabic,0.7900
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","Planning my travel itinenary.

setting reminder for me",0.3276,O7: Italy,0.1300,O1: Arabic,0.7900
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Offer live support and assure me that there are programmable safeguards ,0.3250,O7: Germany,0.0600,O1: Arabic,0.7400
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"If the information it provides is inaccurate, it may delay treatment or even lead to more serious consequences.",0.3247,O7: Pakistan,0.1900,O7: Korea South,0.8400
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"He made some important decisions without my knowledge, such as signing contracts, financial transactions, etc.",0.3247,O7: Pakistan,0.1900,O1: Arabic,0.8400
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",it's really improves on savings time when doing certain things coz it's gives feedback immediately ,0.3194,O7: Italy,0.2000,O1: Arabic,0.8400
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",time optimization and in the creative area,0.3194,O7: Italy,0.2000,O1: Arabic,0.8400
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",Searching timetables for a public service ,0.3181,O7: Italy,0.2700,Oceania,0.9400
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"It is extremely unsafe to contact my family doctor or make arrangements for my family without my consent, or to disclose our personal information.",0.3150,O7: Pakistan,0.1900,Central America,0.8200
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,Their error prescribe my family medicine and treatment that could lead to fatal ,0.3150,O7: Pakistan,0.1900,Central America,0.8200
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"making wrong diagnosis or DNA test results

",0.3150,O7: Pakistan,0.1900,Central America,0.8200
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,Tha a wrong decision could be made,0.3150,O7: Pakistan,0.1900,Central America,0.8200
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","I’m hyped about AI helping with job stuff, like finding gigs, fixing up resumes, and giving interview tips. If it can cut bias and actually boost folks like me, that’s a win.",0.3140,O7: Korea South,0.2100,O1: Arabic,0.8400
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Data protection is key when it comes to me,0.3122,O7: Germany,0.2500,O1: Arabic,0.8900
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",education,0.3102,O7: Italy,0.1300,Central America,0.7600
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","learning, coding",0.3102,O7: Italy,0.1300,Central America,0.7600
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","generally language learning and communication

",0.3102,O7: Italy,0.1300,Central America,0.7600
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","Transportation, planning, information and learning and applications.",0.3102,O7: Italy,0.1300,Oceania,0.7600
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,I fear if it would make any serious mistake that cannot be fixed.,0.3102,O7: Pakistan,0.1300,Central America,0.7600
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",education,0.3102,O7: Italy,0.1300,Central America,0.7600
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",Travel planning,0.3102,O7: Italy,0.1300,Oceania,0.7600
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",Teach and explain new knowledge and information,0.3102,O7: Italy,0.1300,Oceania,0.7600
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,That I have no knowledge of the decision beforehand..,0.3100,O7: Pakistan,0.1900,O7: Germany,0.8100
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,It might give wrong prescription,0.3100,O7: Pakistan,0.1900,O7: Germany,0.8100
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"where ai makes an error (intentional or unintentional), which results in a harmful scenario or causes harm.",0.3082,O7: Pakistan,0.2500,Central America,0.8800
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"making health related issues, as i believe the very slight chance of error is not worth the risk",0.3082,O7: Pakistan,0.2500,Central America,0.8800
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,If it can make a mistake about medication that can lead to death.,0.3082,O7: Pakistan,0.2500,O7: Germany,0.8800
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Clearly report the main sources of information and the use of personal data,0.3050,O7: Germany,0.1900,O7: Italy,0.8000
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Maintain an open information policy,0.3050,O7: Germany,0.1900,O7: Italy,0.8000
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Uh i don't have any idea honestly ,0.3050,O7: Poland,0.2000,O7: Germany,0.8100
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,If AI assistant is  secretly controlled by its company and using sensitive  data for its financial gain,0.3041,O7: Germany,0.1300,Central Asia,0.7500
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"It will do major desicions suddenly without me being aware of them, I want to be in control.",0.3041,O7: Pakistan,0.1300,O7: Germany,0.7500
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","have some garantees, refund or/and compensation policies",0.3040,O7: Germany,0.0600,Central America,0.7100
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Providing effective security measures to the company,0.2998,O7: Germany,0.1900,O1: Arabic,0.7900
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","That the company communicates its data protection policy and commits to respecting my privacy, otherwise, legal consequences may be initiated against the company.",0.2998,O7: Germany,0.1900,O1: Arabic,0.7900
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Hack prevent system for users,0.2980,O7: Germany,0.1300,O1: Arabic,0.7400
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",By providing Guarantees and highlighting security guardrails to protect us.,0.2980,O7: Germany,0.1300,O1: Arabic,0.7400
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Minimize the errors in the code,0.2980,O7: Germany,0.1300,O1: Arabic,0.7400
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Remember my data but no use it for learning ,0.2917,O7: Germany,0.1300,Western Asia,0.7300
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Sorry to provide less of my personal data,0.2915,O7: Germany,0.2500,O1: Arabic,0.8400
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Assure me of data security.,0.2915,O7: Germany,0.2500,O1: Arabic,0.8400
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Not access any of my personal data unless i have approve it. Only what i have approved,0.2915,O7: Germany,0.2500,O1: Arabic,0.8400
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,I worry that AI assistants will reveal my important private information and make decisions that are not in line with my expectations without my permission.,0.2893,O7: Germany,0.1900,O7: United Kingdom,0.7700
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Be open about its values, philosophy and data protection.",0.2893,O7: Germany,0.1900,Western Asia,0.7700
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Evidence-backed answers. Its responses should be more informed ,0.2891,O7: Germany,0.0600,O7: Pakistan,0.6900
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,AI assistants can make mistakes,0.2853,O7: Germany,0.1300,O7: United Kingdom,0.7200
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Maintain consistency in the way the assistant respond.,0.2839,O7: Germany,0.1900,O7: Poland,0.7600
